clase	gismu	
10	catra	x_1 は x_2 を x_3 （動作／方法）で殺す
10	jenmi	x_1 （群）は x_2 （群／共同体）に奉仕する、 x_3 （機動特性）の軍隊
10	mikce	x_1 は x_2 （者）を x_3 （病気／怪我）について x_4 （治療手段）で応接する医者／看護士
10	spita	x_1 は x_2 （患者）・ x_3 （病／疾患）のための病院； x_2 は x_3 のために x_1 に入院する
10	pendo	x_1 （者）は x_2 （者）の友人； x_1 は x_2 にたいして友好的
10	kusru	x_1 （者）は x_2 にたいして酷い／意地悪／不親切
10	kurji	x_1 は x_2 （物／者／事）を世話する／面倒みる
10	fenso	x_1 は x_2 （集合）を x_3 （縫い具）・ x_4 （縫い糸）で縫い合わせる
10	jukpa	x_1 は x_2 （完成品）に x_3 （方法）で料理する
10	lumci	x_1 は x_2 の汚れ x_3 を洗浄剤／用具 x_4 で洗う
10	spali	x_1 は x_2 （表面）を x_3 （剤）で x_4 （道具）で磨く
10	basna	x_1 は x_2 （対象）を x_3 で強調する
10	pandi	x_1 （者）は x_2 （表現）に x_3 （記号／言葉）を打ち、 x_4 （構文的／意味的効力）をもたらす； x_3 は句読点
10	stace	x_1 は x_2 にたいして、 x_3 （事柄）に関して正直／誠実／率直
10	tavla	x_1 （者）は x_2 （者）に x_3 （題目）について x_4 （言語）で話す／語る
10	jicla	x_1 （物／事／力）は x_2 （液体／気体）をかき混ぜる
7	jursa	x_1 （事）は x_2 （者）にたいして辛辣／厳しい／容赦ない／険しい
10	xrani	x_1 （事）は x_2 （対象）に、 x_3 （性質）に関して x_4 （損傷／ダメージ）を与える； x_1 は x_2 を傷つける／傷める／損害する
10	stika	x_1 は x_2 （性質／数量）を x_3 （程度）ほど調整する
20 Total	dunda	x_1 は x_2 を x_3 （者）に与える／贈る／授ける
20	dunda	x_1 は x_2 を x_3 （者）に与える／贈る／授ける
20	punji	x_1 は x_2 を x_3 （所）に置く／設置する
20	sabji	x_1 は x_2 （物）を x_3 （者）に供給／提供する
20	setca	x_1 （者）は x_2 を x_3 に挿入する； x_2 は x_3 に挟まれている
20	renro	x_1 は x_2 を x_3 （方向）に投げる
20	sombo	x_1 は x_2 （植物／種）を x_3 （所）に植える／蒔く
20	cirko	x_1 は x_2 （物／者）を x_3 （所）で失う； x_1 は x_2 （性質）を x_3 （状況）で失う
20	ciska	x_1 は x_2 （文字列）を x_3 （媒体）に x_4 （道具）で書く
20	jmina	x_1 は x_2 を x_3 に加え、その 結果 x_4 となる
20	lasna	x_1 （者）は x_2 を x_3 に x_4 （留め具）で留める／つなげる／くっつける／縛る
20	minra	x_1 は x_2 （物／放射）を x_3 （観察者／基点）にたいして x_4 として反映する； x_2 は x_1 に反射する； x_1 は鏡
20	lenjo	x_1 は x_2 （光／音／電波）を x_3 （焦点）に合わせるレンズ／収束器
20	bevri	x_1 は x_2 （荷）を x_3 （終点）に x_4 （始点）から x_5 （道筋）を通って運ぶ
20	benji	x_1 は x_2 を x_3 （受け手）に x_4 （起源／送信元）から x_5 （方法／媒体）によって送る／届ける
20	mrilu	x_1 は x_2 （郵便物／手紙／Eメール）を x_3 （終点）に x_4 （始点）から x_5 （ネットワーク／システム）によって送達する
20	fanva	x_1 は x_2 （文字列）を x_3 （言語）に x_4 （言語）から翻訳し、 x_5 （文字列）を生む
20	tigni	x_1 は x_2 （演技）を x_3 （者）のために演じる； x_1 は役者／俳優
20	sanga	x_1 は x_2 （音楽）を x_3 （聴衆）に歌う／詠唱する
20	cusku	x_1 （者）は x_2 （内容）を x_3 （聴衆）に x_4 （媒体）で表す／言う／表現する
20	nupre	x_1 （者）は x_2 （事）を x_3 （者）に約束する
20	friti	x_1 は x_2 （物／事）を x_3 に x_4 （条件）で進呈する／オファーする
20	stidi	x_1 は x_2 （概念／行動）を x_3 （者）に示唆／推奨／提案する； x_1 （事）は x_2 を x_3 にたいして鼓舞する
20	barja	x_1 は x_2 （品）を x_3 （客）に提供する酒場／居酒屋／バー／パブ
20	gusta	x_1 は x_2 （飲み物／食べ物）を x_3 （客）に提供する飲食店／レストラン／カフェテリア
20	vecnu	x_1 （売り手） は x_2 （品物やサービス）を x_3 （買い手）に x_4 の額／費用／出費で売る
20	dejni	x_1 （者）は x_2 （物／事）を、 x_3 （者）に x_4 （事）をしてもらった借りとして負っている； x_1 は x_3 に恩義がある
20	pleji	x_1 は x_2 （金／報酬）を x_3 （者）に x_4 （対価／商品／サービス）のために支払う
20	zivle	x_1 （者）は x_2 （資源）を x_3 （宛先）に、 x_4 （収益）を期待して投資する
20	jarco	x_1 は x_2 （性質）を x_3 （者）に見せる／表示／展示する
20	ciksi	x_1 （者）は x_2 （事／状態／性質）を x_3 （者）に x_4 （命題, du'u）で説明／弁明／解説する
20	skicu	x_1 （者）は x_2 （物／事／状態）を x_3 （者）に x_4 （表現／文字列）によって描写／叙述する
20	pante	x_1 は x_2 （事）について x_3 （者）宛てに x_4 （行動）で抗議する／異議を唱える／苦情を訴える
20	cradi	x_1 は x_2 （放送内容／信号内容）を x_3 （周波数）で x_4 （受信機）に放送／通信する放送送信所／放送局／無線局
20	tivni	x_1 は x_2 （番組／放送内容） を x_3 （媒体／チャンネル）で x_4 （受信機）にテレビ放送／映像通信する放送送信所／放送局
20	lebna	x_1 は x_2 （物／性質）を x_3 （者）から取る／得る／奪う／盗む／取り除く／没収／着服する
20	cpacu	x_1 は x_2 （対象）を x_3 （起源）から入手する
20	cerda	x_1 は x_2 （物／性質）を x_3 から、 x_4 （原則）によって継承／相続する／受け継ぐ； x_1 は継承者／相続人
20	sakci	x_1 は x_2 （低圧下のもの）を x_3 （高圧下のもの）で吸う／吸引する
20	cokcu	x_1 は x_2 （対象）を x_3 （起源）から x_4 に吸収する； x_1 は吸収性がある
20	pinxe	x_1 は x_2 （液体）を x_3 （容器／起源）から飲む
20	crepu	x_1 （者）は x_2 （対象）を x_3 （領域）から収穫する
20	jbera	x_1 （者）は x_2 （物）を x_3 （起源）から x_4 （期間）にわたって借りる
20	cuxna	x_1 は x_2 （選択肢）を x_3 （集合）から選ぶ
20	tcidu	x_1 は x_2 （文字列）を x_3 （表面／書物）から読む
20	kakpa	x_1 は x_2 を x_3 から x_4 （道具／方法）で掘り出す； x_1 は x_3 を掘る
20	guska	x_1 は x_2 を x_3 から削る／こすり落とす／すりむく； x_1 は x_2 を侵食する； x_2 は腐食する／摩滅する
20	vimcu	x_1 は x_2 を x_3 から、 x_4 だけ残して除去／控除する／差し引く
20	jinga	x_1 は x_2 （利益）を x_3 （競合相手）から x_4 （試合）において勝ち取る； x_1 は x_3 に勝利する
20	tinbe	x_1 は x_2 （命令／規則）に服従する／従う； x_1 は従順
20	cpedu	x_1 は x_2 （事）を x_3 （者）に x_4 （態度／方法）で頼む
20	mipri	x_1 は x_2 を x_3 から、 x_4 （方法）によって匿う／隠す／秘密にする
20	sisku	x_1 は x_2 （性質）を x_3 （集合）の中に探し求める／模索する
20	sarji	x_1 は x_2 を x_3 （力／抵抗）にたいして x_4 （仕組／道具／手段）によって補強する／支持する
20	canja	x_1 は x_2 （差し出す対象）を x_3 （受け取る対象）と、 x_4 と交換する； x_1 ・ x_4 は貿易業者／投機家／相場師／物々交換する者
20	rorci	x_1 は x_2 （子）を x_3 との間にもうける
20	vamtu	x_1 は x_2 を吐く／嘔吐する／もどす
20	kafke	x_1 は x_2 （気体）を x_3 （開口部）から放つ； x_1 は咳／げっぷ／おならをする
20	vikmi	x_1 は x_2 （対象）を x_3 （起源）から x_4 （経路）で廃棄／排出／排泄する
20	sputu	x_1 は x_2 を x_3 から x_4 に吐き飛ばす
20	klaku	x_1 は x_2 （涙）・ x_3 （理由）で泣く
20	cecla	x_1 は x_2 を x_3 （原動力）で発射する;
20	jakne	x_1 は x_2 （原動力）・ x_3 （乗員／荷）のロケット／シャトル
20	cupra	x_1 は x_2 （物）を x_3 （過程）によって生産／産出／製造する
20	gundi	x_1 は x_2 （生産物）・ x_3 （方法）の工業／製造業
20	bacru	x_1 は x_2 （声／音）を発する
20	cmoni	x_1 は x_2 （音声）を x_3 （意味／目的／原因）のために呻く／唸る
20	krixa	x_1 は x_2 （音）を叫ぶ
20	siclu	x_1 は x_2 （音）をさえずる
20	janbe	x_1 は x_2 （音）を奏でる鐘／鈴／ベル／チャイム
20	dirce	x_1 は x_2 を放射する
20	maksi	x_1 は x_2 （磁界）を形成する磁力／磁石
20	ferti	x_1 は x_2 の成長／発達に関して肥沃／豊穣／多産／多作
20	jerna	x_1 （者）は x_2 （収益）を x_3 （行動）から稼ぐ； x_2 は x_1 の給料／報酬
20	citka	x_1 は x_2 を食べる
20	tunlo	x_1 は x_2 を飲み込む／飲み下す
20	xaksu	x_1 （事）は x_2 （資源／材料）を費やす／使い尽くす
20	tisna	x_1 は x_2 （内容）によって膨れる； x_2 は x_1 に注がれる
20	daspo	x_1 （事）は x_2 を破壊する／破滅させる／倒す； x_1 は破壊的
20	xagji	x_1 は x_2 に飢える； x_1 は腹をすかしている／おなかがへっている； x_1 は x_2 （燃料／栄養）の補充を必要としている
20	taske	x_1 は（喉の）渇きを感じる； x_1 は渇きで x_2 を求める
20	vasxu	x_1 は x_2 （気体）を吸う／吐く
20	ralte	x_1 は x_2 を保持／維持する
30 Total	zvati	x_1 （物／事）が x_2 （事／所）に居る／在る
30	zvati	x_1 （物／事）が x_2 （事／所）に居る／在る
30	diklo	x_1 は x_2 （局所）・ x_3 （領域）について局所的／ローカル； x_1 は x_2 に局在する
30	jinru	x_1 は x_2 に漬かる／浸かる／沈む／潜る
30	nenri	x_1 は x_2 の中（にある）； x_1 は内部／内側； x_2 は x_1 を内蔵する
30	bartu	x_1 は x_2 の外／外部／外側
30	midju	x_1 は x_2 の中央／中心／中枢／真ん中
30	kruca	x_1 は x_2 と、 x_3 （箇所）で交差する； x_1 は x_2 を渡る
30	sruri	x_1 は x_2 を x_3 （方向／次元／面）に関して包囲する／取り囲む
30	kuspe	x_1 は x_2 （間隔／領域）にわたる； x_2 は x_1 の範囲／範疇
30	ranji	x_1 （事／性質）は x_2 （時間／期間）にわたって継続する／続く
30	xabju	x_1 は x_2 （所）に住む／暮らす／棲息／生息する
30	cpana	x_1 は x_2 （表面）の上に（置いて／立って）在る、 x_3 （観点）で
30	vreta	x_1 は x_2 に寄り掛かる／もたれる／横たわる
30	zutse	x_1 は x_2 （表面）に座る／着席する
30	sanli	x_1 は x_2 （所）に x_3 （脚／支え）で立つ
30	dandu	x_1 は x_2 （対象本体）・ x_3 （対象箇所）に掛かる／ぶらさがる
30	snipa	x_1 は x_2 にくっ付く／貼り付いている； x_1 は粘着性がある
30	jadni	x_1 （物）は x_2 を装飾する； x_1 は x_2 の飾り；
30	taxfu	x_1 は x_2 （身体部分／性別／種族）・ x_3 （目的／機能）の衣服／服飾
30	nilce	x_1 は x_2 （場所）に備え付く家具／調度品／備品／設置物
30	kluza	x_1 は x_2 （対象本体）・ x_3 （対象箇所）において緩い／弛んでいる
30	tagji	x_1 は x_2 （対象本体）・ x_3 （対象箇所）にたいして、かっちり／ぴったり／しっかりしている； x_1 は x_2 から外れない／離れない
30	korbi	x_1 は x_2 の、 x_3 に接する端／へり／縁／境界
30	sepli	x_1 は x_2 から x_3 （区分／壁／間）によって離れている
30	stuna	x_1 は x_2 に対して x_3 （照合枠）における東方／東側
30	stici	x_1 は x_2 に対して x_3 （照合枠）における西方／西側
30	berti	x_1 は x_2 にたいして x_3 （照合枠）で北方／北側
30	snanu	x_1 は x_2 に対して x_3 （照合枠）における南方／南側
30	crane	x_1 は x_2 （比較対象）・ x_3 （照合枠）の前方／前側
30	trixe	x_1 は x_2 に対して x_3 （照合枠）における後ろ／後方／後側／裏側／背後／リア
30	mlana	x_1 は x_2 の脇／側（がわ）（にある／いる）
30	ragve	x_1 は x_2 （境界）を x_3 （側）に対して横断する／またいでいる； x_1 は x_3 の反対側
30	pritu	x_1 は x_2 に対して x_3 （照合枠）における右方／右側
30	zunle	x_1 は x_2 に対して x_3 （照合枠）における左方／左側
30	gapru	x_1 は x_2 に対して x_3 （照合枠）における上方／上側
30	cnita	x_1 は x_2 に対して x_3 （照合枠）における下方／下側
30	cabna	x_1 は x_2 と同時； x_1 は現在／今
30	purci	x_1 は x_2 （時点）よりも以前／過去； x_1 は先人
30	balvi	x_1 は x_2 よりも未来／後発； x_1 は後者； x_2 は前者
30	litru	x_1 は x_2 （経路）を x_3 （方法）で旅する； x_1 は旅人
30	cpare	x_1 は x_2 （対象）を x_3 （方向）・ x_4 （手段）で登る
30	stapa	x_1 は x_2 を x_3 で踏む
30	cadzu	x_1 は x_2 （表面）を x_3 （肢）で歩く
30	bajra	x_1 は x_2 （表面）を x_3 （肢）・ x_4 （調子）で走る
30	sakli	x_1 は x_2 を滑る
30	gunro	x_1 は x_2 （表面）・ x_3 （回転軸）を転がる
30	carna	x_1 は x_2 （軸）・ x_3 （指向）で回る／回転／周回／旋回する
30	mluni	x_1 は x_2 を周回する、 x_3 （衛星特性）・ x_4 （軌道特性）の衛星
30	plini	x_1 は x_2 を周る、 x_3 （惑星特性）・ x_4 （軌道特性）の惑星
30	tarci	x_1 は x_2 （特性）の星／恒星
30	fulta	x_1 は x_2 （気体／液体）に浮かぶ； x_1 は浮遊物
30	limna	x_1 は x_2 （液体）中を泳ぐ／水泳する
30	dansu	x_1 は x_2 （音楽／リズム）に合わせて踊る； x_1 は x_2 にノる
30	vofli	x_1 は x_2 （原動力）で飛ぶ／飛行する
30	preja	x_1 は x_2 （拡張範囲）に x_3 （初期範囲）から広がる
30	tcena	x_1 は x_2 （範囲）にわたり x_3 （次元）において x_4 （通常の範囲）から伸びる／拡張する
30	pagre	x_1 は x_2 （対象）を x_3 （側）へ x_4 （側）から通過する／貫通する／通り抜ける
30	muvdu	x_1 （物）は x_2 （終点）に x_3 （始点）から x_4 （経路）にわたって動く； x_1 は動的
30	klama	x_1 は x_2 （終点）に x_3 （起点）から x_4 （経路）を x_5 （方法）で行く／来る
30	plipe	x_1 （者／物）は x_2 （終点）に x_3 （起点）から x_4 （高さ）ほど x_5 （動力）によって跳躍／ジャンプする
30	sfubu	x_1 は x_2 に x_3 から飛び込む／飛び降りる
30	farlu	x_1 は x_2 に x_3 から、 x_4 （照合枠／重力井戸）において落ちる／降る
30	janli	x_1 は x_2 に衝突／激突する／ぶつかる
30	jersi	x_1 は x_2 を追う／追跡する
30	carvi	x_1 は x_2 （終点）に x_3 （始点）から降る／降り注ぐ； x_1 はシャワー状
30	gusni	x_1 （エネルギー）は x_2 （対象）を x_3 （光源）に基づいて照らす； x_3 は x_2 を x_1 で照らす
30	jmaji	x_1 は x_2 （所）に x_3 （起源）から集まる／集結する
30	fatri	x_1 （物）は x_2 （受け手）に x_3 （分け前）で分配／配当される／割り当てられる
30	xruti	x_1 （者）は x_2 （対象）を x_3 に x_4 から戻す／返す； x_2 は x_3 に戻る／帰る
30	xatra	x_1 は x_2 （者）への x_3 （者）からの x_4 （内容）の手紙／Eメール
30	runta	x_1 は x_2 （溶媒）の中で分解／分散し、 x_3 （溶液）を成す、 x_4 （条件）において； x_1 はばらける
30	denpa	x_1 は x_2 （事）を x_3 （状態）ながら待つ、 x_4 （事）の開始以前／再開以前に
30	stali	x_1 は x_2 （場／性質／状態）に留まる
30	canci	x_1 は x_2 （所／視界）から消える
30	cliva	x_1 は x_2 から x_3 （経路）によって離れる／発つ／別れる／去る； x_1 は x_2 を残す
30	rinci	x_1 は x_2 （起源）から x_3 （排出口）を通って x_4 （力）によって排出される
30	jbena	x_1 は x_2 （産主）による x_3 （日時）・ x_4 （所）の生まれである； x_2 は x_1 の産みの親
30	festi	x_1 は x_2 （事／動作）の残り物／ごみ／くず
40 Total	vanbi	x_1 （個／群）は x_2 の環境／周囲／文脈／雰囲気
40	jalge	x_1 （事）は x_2 （事）の結果／結末； x_2 は x_1 に終結する
40	danfu	x_1 は x_2 （質問／問題）に対する解答／回答／返答
40	tcini	x_1 （状態／性質）は x_2 の状況／境遇／事情
40	vanbi	x_1 （個／群）は x_2 の環境／周囲／文脈／雰囲気
40	manri	x_1 は x_2 （事）を x_3 （規則）で観察／計測／審判する際の観点／標準／基準
40	cedra	x_1 は x_2 （事／物／性質／間隔）を特徴とする時代／時期／年代
40	tadji	x_1 （過程）は x_2 （事）を x_3 （状態条件）のもと遂行するための方式／方法／用法／手段／マナー
40	larcu	x_1 （創作物／創作過程）は x_2 （芸術様式／芸術流派）の実践／応用； x_1 は芸術的
40	rilti	x_1 は x_2 （形態）のリズム／律動／調子／拍子
40	ritli	x_1 は x_2 （目的）・ x_3 （慣習／共同体）・ x_4 （形態／規則）の儀式； x_1 は形式的／かしこまっている
40	jicmu	x_1 は x_2 の基礎／基盤／根本／原理
40	krinu	x_1 （事）は x_2 （事）を許容する理由
40	mukti	x_1 （事）は x_2 （事）を x_3 （者）に動機する； x_3 は x_1 に鼓舞されて x_2 をする
40	sarcu	x_1 （事）は x_2 （事）にとって x_3 （状態条件）のもと必須／欠かせない
40	banzu	x_1 は x_2 （目的）に関して x_3 （条件）において足りる／充分
40	fanta	x_1 は x_2 （事）の発生を防ぐ／抑える
40	rinka	x_1 （事）は x_2 （事）を x_3 （条件）において引き起こす
40	bapli	x_1 （性質／力）は x_2 （事）を引き起こす／もたらす
40	gasnu	x_1 （者）は x_2 （事）をする
40	vlipa	x_1 は x_2 （事）を x_3 （状態条件）のもとにもたらす力能を持つ； x_1 は x_2 に関して有力／有能
40	curmi	x_1 （者）は x_2 （事）を x_3 （条件）において許容／許可する
40	javni	x_1 は x_2 （事）を x_3 （体系）において規定する法則／規則／ルール
40	flalu	x_1 は x_2 （事）を x_3 （共同体）のために x_4 （条件）で x_5 （者）が制定した法律／条例； x_2 は合法的
40	pulji	x_1 は x_2 （法／治安）を守る警察（官）
40	jabre	x_1 は x_2 （動作）を x_3 （仕組）によって抑える制動装置／ブレーキ／歯止め
50 Total	zukte	x_1 は x_2 （行動内容）を x_3 （目的／目標）のために行為／実行する
50	fenki	x_1 （事／行為）は x_2 の観点で狂気の沙汰
50	racli	x_1 （行動）は x_2 （基準）において理性的／正気／穏健
50	juxre	x_1 （行為）はx_2（基準）において不器用／ぎこちない／不様
50	vrude	x_1 は x_2 の観点で有徳／高潔／光栄
50	palci	x_1 は x_2 （基準）において悪質／非道／堕落的
50	junri	x_1 （者）は x_2 （事）に関してまじめ／真剣／厳か／熱心／本気
50	xalbo	x_1 は x_2 （事）に関して軽率／無思慮／浮ついている／不真面目
50	darsi	x_1 （者）は x_2 （事／行為）に関して大胆に振舞う／ずぶとさをみせる／厚かましい； x_1 はあえて／思い切って x_2 をする
50	virnu	x_1 は x_2 （事）に関して x_3 （基準）で勇敢／勇ましい／雄々しい／英雄的／
50	bebna	x_1 は x_2 （性質）に関して愚か／ばかげている／思慮が無い； x_1 は阿呆／馬鹿
50	prije	x_1 は x_2 （事）に関して、 x_3 （基準）において賢い
50	clite	x_1 は x_2 （事）に際し、 x_3 （照合枠）において礼儀正しい／行儀が良い
50	troci	x_1 は x_2 （事／情態／性質）を x_3 （手段／方法）で達成／獲得しようと努める／努力する； x_1 は x_2 をやってみる
50	snada	x_1 （者）は x_2 （成果）を x_3 （努力／試み）によって達成する／成功させる
50	fliba	x_1 は x_2 （事）に失敗する； x_1 は x_2 を怠る
50	srera	x_1 は x_2 （事）に関して、 x_3 （条件）・ x_4 （基準）で誤る／間違う
50	zifre	x_1 は自由である、 x_2 （事／状態）になることにおいて、 x_3 という条件で
50	bilga	x_1 は x_2 （行為）を x_3 （協定／契約／常識）のために遂行する義務を負っている； x_1 は x_2 をしなければならない
50	bredi	x_1 は x_2 （事）に向けて準備できている／用意が整っている／覚悟している
50	rivbi	x_1 は x_2 （事）を x_3 （事）によって避ける／回避する／逃れる
50	sutra	x_1 は x_2 （動作／事）に関して速い／すばやい／敏速／俊敏
50	masno	x_1 は x_2 （事）に関して速度的に遅い／のろい／もたもたする
50	fuzme	x_1 は x_2 （事）について x_3 （断裁／権限）の責任がある
50	lazni	x_1 （者）は x_2 （動作／仕事／努力／事）に関して怠惰／怠ける； x_1 は x_2 を怠る
50	tatpi	x_1 は x_2 （事）によって疲労／疲弊している／疲れている
50	surla	x_1 は x_2 （動作）に関してくつろぐ／リラックスする
50	gunka	x_1 は x_2 （動作／行動）を x_3 （目的／目標）のために働く／労働／勤務する； x_1 は労働者
50	kakne	x_1 は x_2 （事）が x_3 （条件）においてできる； x_1 は有能
50	stati	x_1 には x_2 （事／行為）の才能／素質がある
50	certu	x_1 は x_2 （事／行為）の、 x_3 （基準）における玄人／達人／プロ／ベテラン
50	frati	x_1 は x_2 （動作／行為）によって x_3 （刺激／要因）に反応する／呼応する
50	tarti	x_1 は x_2 （事／性質）を x_3 （条件）で振舞う
50	sisti	x_1 （者）は x_2 （動作／過程／状態）をやめる／中止／終了する
50	simxu	x_1 （集合）は x_2 （事／性質）の点で相互的／共通し合っている
50	kamni	x_1 （群）は x_2 （目的／責務）・ x_3 （母体）の委員会
50	zajba	x_1 は x_2 （形態／技術）の体操をする
50	cinse	x_1 は x_2 （行為／状態）で x_3 （性質）を x_4 （基準）における性的特徴として表す／有する； x_1 は性的／セクシー
60 Total	lifri	x_1 （者／事）は x_2 （事）を経験する； x_2 に x_1 は見舞われる； x_2 は経験的／実験上／実証可能
60	lifri	x_1 （者／事）は x_2 （事）を経験する； x_2 に x_1 は見舞われる； x_2 は経験的／実験上／実証可能
60	renvi	x_1 は x_2 （事）を x_3 （時間／期間）にわたって耐え抜く／辛抱する／我慢する； x_1 は長持ちする
60	dimna	x_1 は x_2 の宿命／末路； x_2 は x_1 の運命にある
60	snura	x_1 は x_2 （事／危険）にたいして安全
60	rinju	x_1 は x_2 （抑制力）によって x_3 （事）にたいして拘束／制限されている； x_1 は x_2 のせいで x_3 ができない； x_2 は x_1 を束縛する
60	lanxe	x_1 は x_2 （量群）によってバランスがとれている／平衡／均衡状態にある
60	jdari	x_1 は x_2 （力）にたいして、 x_3 （環境／条件）のとき固い／硬い／堅い
60	ranti	x_1 は x_2 （力）にたいして x_3 （条件）のもと軟らかい
60	randa	x_1 は x_2 （力／者）にたいして x_3 （条件）のもと降伏／降参／譲歩する
60	torni	x_1 は x_2 （力／荷）によってねじれる／歪む； x_1 はねじれている／歪んでいる
60	desku	x_1 は x_2 （力）によって揺れる／震える； x_2 は x_1 を揺さぶる
60	fusra	x_1 は x_2 （原因）によって腐敗／発酵する； x_1 は腐っている／錆びている
60	jelca	x_1 は x_2 （温度）・ x_3 （気体）において燃える； x_1 には可燃性がある
60	febvi	x_1 は x_2 （温度）・ x_3 （圧力）において沸騰／蒸発する
60	runme	x_1 は x_2 （温度）と x_3 （圧力）において溶解する； x_1 は溶ける
60	dunja	x_1 は x_2 （温度）・ x_3 （圧力）で凍る； x_1 は凍っている
60	lunsa	x_1 は x_2 （結果）に、 x_3 （温度）・ x_4 （圧力）によって凝結／凝固／液化する
60	binxo	x_1 は x_2 に x_3 （条件）の下で成る／変身する
60	spoja	x_1 は爆発／破裂して x_2 （残骸）になる
60	porpi	x_1 は砕けて／壊れて x_2 （破片）になる
60	banro	x_1 は x_2 （結果）に x_3 （始原）から育つ／育成する／成長する
60	farvi	x_1 は x_2 に x_3 から x_4 （過程）を通じて発達／発展／進化する
70 Total	ckini	x_1 は x_2 と x_3 （関係性）によって繋がりがある／同系
70	ckini	x_1 は x_2 と x_3 （関係性）によって繋がりがある／同系
70	tamne	x_1 は x_2 の、 x_3 （血縁）による従兄弟／従姉妹
70	tunba	x_1 は x_2 の、 x_3 （養育関係／血縁関係／類似関係）によって結ばれている兄弟姉妹／親戚／親族
70	bruna	x_1 は x_2 の、 x_3 （血縁関係）による兄／弟
70	mensi	x_1 は x_2 と、 x_3 （血縁）によって姉妹関係にある； x_1 は x_2 の姉／妹
70	dzena	x_1 （者）は x_2 （者）・ x_3 （関係）の先祖／先人； x_1 は先駆者
70	famti	x_1 （者）は x_2 （者）・ x_3 （血縁関係）のおじ／おば
70	speni	x_1 は x_2 と結婚している／の配偶者、 x_3 （法律／規則／慣習）のもと
70	rirni	x_1 は x_2 の育ての親／保護者／保育者／養育者； x_1 は x_2 を育てる
70	patfu	x_1 は x_2 の父親
70	mamta	x_1 は x_2 の母親； x_1 は母性的
70	panzi	x_1 は x_2 （親）の生物学的子孫
70	bersa	x_1 は x_2 （親）の息子
70	tixnu	x_1 は x_2 （親）の娘
70	tarbi	x_1 は x_2 （母）・ x_3 （父）による胎芽／胎児／胚芽／接合体
70	ponse	x_1 は x_2 を x_3 （法／慣習）のもと所有する
70	jikca	x_1 は x_2 と社交／交際する； x_1 は x_2 にたいして社会的に振舞う； x_1 は社会人
70	gletu	x_1 は x_2 と性交／交尾／セックスする
70	panpi	x_1 は x_2 と平和／和平の関係にある； x_1 は平和な状態にある
70	krati	x_1 は x_2 を x_3 （事項／機能）について代表する； x_1 は x_2 の代わりを務める
70	jansu	x_1 は x_2 （政体）・ x_3 （交渉／談判）・ x_4 （役割／目的）の外交官（大使／公使／領事）
70	basti	x_1 は x_2 （対象）と、 x_3 （状況）において交替する； x_2 を x_1 が代理する
70	lacri	x_1 は x_2 に依存して x_3 （事／状態）の発生／保障／維持を求める； x_1 は x_2 を頼りに x_3 を期待する
70	minde	x_1 は x_2 （者）に x_3 （事）が起こるよう／を行うよう命令／指令／指図する
70	pikci	x_1 は x_2 （者）に x_3 （事／物）を請う／せがむ／懇願する／嘆願する
70	kansa	x_1 は x_2 に、 x_3 （事）において伴う／付き添う； x_1 と x_2 は一緒
70	sidju	x_1 は x_2 （者）を x_3 （行動／事）に関して助ける
70	vitke	x_1 は x_2 （者）・ x_3 （所／事）の客； x_1 は x_2 ・ x_3 を訪れる
70	pinfu	x_1 は x_2 （拘束者）の x_3 （収容方法）による囚人； x_1 は囚われの身
70	talsa	x_1 （人）は x_2 を x_3 （性質）について挑む； x_2 に x_3 があるかどうかを x_1 は試す
70	xarnu	x_1 は x_2 （者／事）にたいし、 x_3 （事／状態）について（意志的に）頑固／強情／片意地／不屈
70	fapro	x_1 は x_2 （者／物／力）に、 x_3 （事）について対抗する
70	jamna	x_1 （群）と x_2 （群）は x_3 （題目）に関して戦争／紛争する
70	damba	x_1 は x_2 と、 x_3 （事）に関して格闘する／戦う； x_1 は戦士／格闘家
70	jivna	x_1 は x_2 と x_3 （事）に関して x_4 （利益）を競う／競合する／試合する
70	bradi	x_1 は x_2 の、 x_3 （抗争）における敵／敵対者／対抗者／相手／試合相手
70	vasru	x_1 は x_2 を内に含む／包む； x_1 は x_2 の容器
70	kunti	x_1 は x_2 （内容）が無い； x_1 は空っぽ
70	culno	x_1 は x_2 で充溢／充満している
70	cilmo	x_1 は x_2 （液体）で湿っている／濡れている／じめじめしている； x_1 はしけている
70	sudga	x_1 は x_2 （液体）を欠いて乾燥している／乾いている
70	jinsa	x_1 は x_2 （汚れ）を x_3 （観点）において持っていない； x_1 は汚れていない／清らか
70	jatna	x_1 は x_2 （活動領域／権限範疇）における指揮者／指導者／首領／長／リーダー／キャプテン
70	turni	x_1 は x_2 （民衆／領土／物）を統治／支配する／治める； x_1 は知事／支配者／君主
70	catni	x_1 は x_2 （事項／領域／者）にたいして x_3 （基盤）による権威／権限を有する； x_1 は公務員／役人／政府高官
70	jecta	x_1 は x_2 （領域）の政体／政府
70	penmi	x_1 は x_2 に x_3 （所）で会う
70	jorne	x_1 は x_2 （対象本体）と、 x_3 （対象箇所）において結合／接続している； x_1 と x_2 は結束している
70	tarmi	x_1 （観念／性質）は x_2 の形状／形態／形式／仕様
70	sucta	x_1 （概念）は x_2 （具体的なもの）を x_3 （原理）によって抽象化／概念化／一般化したもの
70	morna	x_1 は x_2 （様式／事）が x_3 （構造）で表れているパターン／型
